OrderID,OrderDate,ProductKey,Channel,Quantity,UnitPrice,Discount
10860,2023-12-09,P32,Amazon,4,492.0,41.26
11294,2023-05-19,P43,Website,4,227.88,27.37
11130,2023-04-20,P8,Amazon,3,397.67,33.46
11095,2023-07-02,P3,Flipkart,0,312.79,24.64
11638,2023-01-28,P12,Website,3,343.4,34.89
12169,2023-07-16,P20,Website,5,257.39,1.7
10466,2023-07-10,P16,Website,0,485.93,38.14
11238,2023-11-11,P14,Amazon,-2,328.67,1.67
10330,2023-02-20,P16,Amazon,4,475.12,22.76
11482,2023-05-29,P49,Flipkart,3,103.04,7.55
12135,2023-09-25,P43,Flipkart,2,329.07,41.18
12919,2023-02-19,P49,Website,-1,386.87,15.68
10130,2023-09-03,P33,Flipkart,4,398.03,22.7
11685,2023-04-23,P30,Amazon,-2,461.99,21.44
10769,2023-06-19,P12,Flipkart,2,101.76,38.63
12391,2023-06-15,P15,Amazon,4,100.13,24.06
11515,2023-01-14,P18,Flipkart,-2,288.91,39.45
12853,2023-07-22,P28,Amazon,1,111.72,3.68
12433,2023-10-15,P23,Amazon,-2,489.81,9.58
11215,2023-07-08,P14,Flipkart,-2,188.83,27.58
10955,2023-06-04,P30,Flipkart,1,289.07,47.35
12324,2023-02-24,P33,Amazon,3,124.46,3.74
11184,2023-07-01,P45,Website,-1,308.82,2.15
10459,2023-07-29,P15,Flipkart,5,251.98,7.83
10021,2023-03-16,P7,Amazon,2,117.86,32.06
12300,2023-10-04,P15,Flipkart,4,234.05,19.95
10747,2023-05-13,P42,Flipkart,5,256.57,41.28
12904,2023-12-09,P46,Flipkart,0,495.97,3.6
10474,2023-02-28,P38,Flipkart,-1,183.15,9.82
11082,2023-12-11,P46,Flipkart,5,317.91,15.0
12558,2023-07-01,P44,Website,4,494.93,31.34
12047,2023-12-05,P11,Website,-2,416.81,34.26
12747,2023-11-17,P29,Website,5,497.35,6.21
10975,2023-03-05,P31,Amazon,0,487.32,47.19
11806,2023-11-23,P25,Website,1,295.82,17.05
10189,2023-09-17,P24,Website,5,378.55,35.66
12734,2023-07-12,P19,Amazon,-1,144.18,26.21
10562,2023-05-23,P2,Website,3,276.46,11.14
11899,2023-04-14,P22,Flipkart,2,423.61,42.31
11267,2023-08-02,P20,Website,-1,302.13,40.91
12879,2023-08-30,P33,Website,-1,381.08,19.8
11528,2023-07-28,P8,Website,3,398.3,29.43
10646,2023-04-03,P25,Flipkart,0,201.39,12.89
12068,2023-05-22,P46,Flipkart,1,450.28,34.49
12888,2023-04-22,P9,Flipkart,3,283.93,15.45
12214,2023-02-28,P34,Flipkart,4,184.07,42.2
11297,2023-02-12,P23,Amazon,1,446.17,10.87
12435,2023-07-26,P5,Flipkart,3,267.13,0.74
10600,2023-09-25,P25,Flipkart,-1,400.12,13.43
12363,2023-10-23,P8,Flipkart,1,319.21,9.55
12061,2023-04-28,P16,Flipkart,0,252.75,25.41
10241,2023-01-20,P48,Amazon,0,423.95,10.19
12041,2023-08-10,P45,Website,2,333.79,38.16
12824,2023-06-15,P15,Website,1,256.22,12.07
12612,2023-05-11,P1,Flipkart,2,143.84,35.35
12945,2023-06-05,P22,Flipkart,4,458.18,28.92
11363,2023-07-03,P3,Flipkart,3,114.19,49.31
12139,2023-03-31,P38,Website,-2,445.27,50.0
11390,2023-04-04,P14,Website,4,243.98,43.48
11478,2023-01-13,P36,Flipkart,0,355.74,38.0
12556,2023-11-18,P18,Website,-1,468.88,19.32
10775,2023-10-20,P47,Amazon,5,160.68,37.66
10034,2023-08-18,P41,Flipkart,0,326.78,47.83
12253,2023-11-18,P18,Flipkart,-2,405.77,1.17
11955,2023-10-19,P3,Amazon,-1,403.03,26.9
11585,2023-01-26,P10,Amazon,1,310.25,10.9
11021,2023-03-16,P49,Website,5,349.9,27.89
12613,2023-12-30,P39,Amazon,1,403.01,23.32
11129,2023-10-26,P47,Flipkart,4,436.41,28.79
11500,2023-05-30,P1,Website,5,404.73,27.55
10702,2023-05-28,P27,Amazon,0,241.6,48.01
12449,2023-01-08,P27,Website,-1,498.69,27.61
12777,2023-01-29,P11,Website,3,273.8,42.31
11579,2023-10-23,P49,Website,5,109.79,15.99
10161,2023-07-28,P5,Website,-1,245.05,21.91
10201,2023-05-08,P7,Amazon,2,151.11,23.52
11981,2023-12-06,P19,Flipkart,-2,148.58,13.94
10995,2023-04-26,P29,Flipkart,4,212.61,18.99
12317,2023-05-24,P15,Amazon,1,121.35,29.93
10815,2023-11-14,P35,Flipkart,0,375.4,29.01
10455,2023-08-23,P47,Website,-1,129.6,31.82
11275,2023-01-07,P37,Website,1,181.32,17.59
11016,2023-02-14,P12,Website,0,137.16,15.79
12343,2023-08-27,P30,Amazon,5,125.27,30.58
12767,2023-06-04,P20,Website,1,207.1,6.64
10337,2023-06-30,P37,Website,0,328.76,12.65
10878,2023-08-03,P3,Amazon,1,485.87,2.11
11076,2023-03-29,P9,Website,3,450.22,3.63
10791,2023-09-13,P41,Website,2,450.37,12.17
12264,2023-03-14,P39,Flipkart,-2,170.43,0.98
10763,2023-06-28,P26,Amazon,1,205.96,12.27
12235,2023-07-31,P2,Website,-2,130.56,32.75
10379,2023-10-20,P23,Website,1,411.39,3.06
10492,2023-08-22,P23,Website,4,127.93,21.84
11180,2023-08-27,P21,Website,-1,322.68,45.66
12062,2023-08-11,P16,Flipkart,2,199.15,39.56
10064,2023-04-29,P9,Flipkart,4,197.38,15.27
12568,2023-11-09,P13,Flipkart,3,496.29,46.24
11367,2023-09-21,P28,Flipkart,2,402.71,16.48
11152,2023-07-26,P27,Amazon,-2,434.78,3.63
12027,2023-04-05,P17,Website,-1,328.79,49.7
12695,2023-08-10,P38,Flipkart,0,448.41,43.5
11495,2023-10-03,P36,Website,4,358.2,23.3
11162,2023-08-19,P1,Amazon,2,478.47,33.32
11522,2023-11-05,P18,Website,3,212.54,33.56
12640,2023-04-29,P9,Website,4,338.13,9.72
10391,2023-09-25,P13,Flipkart,-1,376.05,10.0
11698,2023-09-30,P40,Flipkart,-1,257.17,23.48
10418,2023-03-05,P45,Amazon,-2,451.88,45.58
12336,2023-10-25,P15,Website,3,491.92,0.5
10378,2023-12-16,P43,Flipkart,-1,297.51,39.13
11796,2023-01-11,P44,Flipkart,5,256.26,2.88
12278,2023-04-08,P46,Flipkart,-1,288.78,23.91
12088,2023-03-12,P4,Amazon,0,441.09,31.89
12182,2023-12-30,P33,Website,-2,358.19,34.34
10200,2023-02-27,P24,Flipkart,-2,117.91,2.92
11863,2023-10-17,P36,Website,3,316.87,20.93
10779,2023-09-08,P41,Amazon,-1,106.92,29.19
12977,2023-10-03,P10,Website,0,411.41,3.3
10502,2023-02-19,P36,Flipkart,1,231.32,6.75
12454,2023-12-24,P20,Website,2,288.8,33.18
11751,2023-08-04,P41,Website,5,419.47,26.08
10804,2023-02-21,P45,Amazon,4,118.58,8.09
12146,2023-09-28,P44,Amazon,-2,163.42,26.76
12731,2023-03-25,P11,Website,0,259.18,45.63
11895,2023-10-20,P12,Website,3,191.97,0.78
12773,2023-05-06,P18,Website,0,235.16,32.13
11570,2023-10-23,P30,Amazon,-1,499.27,3.68
10960,2023-03-13,P44,Amazon,5,430.17,0.32
12660,2023-10-23,P48,Website,2,453.56,7.53
11485,2023-08-24,P37,Amazon,-2,474.82,21.15
12690,2023-02-25,P20,Flipkart,1,236.37,40.12
11028,2023-12-26,P25,Amazon,-1,218.83,14.09
10502,2023-04-20,P12,Amazon,-2,193.62,31.28
12814,2023-07-11,P21,Amazon,4,432.05,20.56
10397,2023-04-03,P25,Flipkart,3,371.82,11.72
10870,2023-12-16,P11,Flipkart,-2,194.47,25.71
12842,2023-02-25,P9,Flipkart,0,250.8,39.87
10392,2023-03-01,P50,Website,4,302.68,41.62
10206,2023-05-18,P25,Website,2,311.26,42.33
11038,2023-02-08,P35,Flipkart,5,455.49,16.93
11881,2023-01-28,P32,Website,1,252.23,39.67
12939,2023-02-18,P49,Website,2,463.41,10.61
11484,2023-05-05,P14,Website,0,276.55,36.92
10863,2023-01-13,P1,Flipkart,1,398.55,47.42
12790,2023-02-05,P17,Amazon,1,472.1,0.69
10563,2023-04-11,P25,Flipkart,5,463.03,22.02
11020,2023-10-09,P8,Flipkart,-1,122.78,32.39
10095,2023-03-27,P5,Website,1,182.28,35.09
11923,2023-01-04,P5,Website,-2,290.76,8.8
11757,2023-08-11,P41,Amazon,2,272.62,48.61
12532,2023-12-04,P35,Amazon,3,356.36,30.76
12278,2023-06-15,P19,Amazon,3,477.88,8.22
12796,2023-12-10,P23,Amazon,2,144.96,1.03
11678,2023-10-05,P9,Flipkart,-1,280.74,39.16
10540,2023-05-10,P30,Amazon,1,176.96,3.99
11059,2023-01-31,P50,Flipkart,0,457.64,7.05
12572,2023-01-11,P16,Website,4,485.83,28.74
11183,2023-10-29,P33,Amazon,4,291.48,30.18
11722,2023-04-06,P2,Website,-2,141.6,34.34
11819,2023-07-09,P14,Website,-1,414.12,19.68
12625,2023-07-11,P46,Flipkart,4,378.86,38.69
12729,2023-09-23,P1,Amazon,5,241.87,48.72
12604,2023-05-08,P26,Flipkart,5,454.96,13.55
11597,2023-08-26,P25,Website,1,490.33,35.15
12693,2023-12-21,P16,Amazon,3,323.14,46.42
10795,2023-04-22,P15,Website,0,326.29,34.31
11051,2023-11-12,P26,Website,1,219.01,34.06
11643,2023-12-09,P47,Amazon,-1,333.8,11.19
11363,2023-05-25,P44,Amazon,5,275.86,26.76
11981,2023-03-06,P16,Amazon,0,220.88,28.13
11354,2023-09-04,P14,Flipkart,4,126.87,35.01
11663,2023-08-11,P29,Flipkart,0,201.08,49.84
11529,2023-11-09,P24,Website,0,179.14,1.68
12038,2023-04-16,P47,Amazon,0,316.82,3.26
11496,2023-06-30,P15,Website,5,340.67,3.9
12237,2023-07-03,P19,Website,4,343.43,37.15
11408,2023-08-14,P8,Website,1,255.27,6.82
11400,2023-09-22,P34,Website,0,268.49,31.12
11306,2023-10-05,P2,Website,1,433.7,16.23
12680,2023-03-30,P27,Amazon,0,290.49,22.87
12675,2023-06-25,P10,Flipkart,5,495.11,10.78
